Date,AC,PUMA,MFC,XIT,XRE,XMA,XMV,XDV,XMD,XSP,XIN,XCB,XSB,XLB
2013-04-19,-0.00332779,0,0.017711962,0.008620645,0.005200446,0.005437017,-0.000940144,0.005084375,0.001929705,0.008453408,0.010771979,0.000922309,-0.000345573,0.00084658
2013-04-22,-0.135437971,0,-0.01485655,0.005706042,0.005747251,0.014610005,0.005629212,-0.000461274,0.007203154,0.004479083,0.003056401,-0.001383129,-0.000690031,-0.001270232
2013-04-23,0.098082184,-0.080042708,0.030879368,0.018323345,0.010354911,-0.011516665,0.001401555,0.003604411,0.002389368,0.010558497,0.018145773,0.000786222,0.0005878,-0.001531982
2013-04-24,0.017153079,0,0.017129527,0.01936444,0.002841737,0.046028543,0.010223675,0.005519777,0.015629279,0,0.008455598,0,0,0.001276774
2013-04-25,-0.013698844,0.080042708,-0.002040527,0.025694302,-0.000567387,0.018268689,0.003691102,0.001833032,0.011679298,0.003862228,0.002473573,-0.001388407,0,-0.004262787
2013-04-26,0,0,-0.008202194,-0.001336011,-0.001136575,-0.031631897,0,-0.002750487,-0.005589012,-0.001102099,-0.00396049,0.00277502,0,0.003836983
2013-04-29,0,0,0.011600483,0.007989541,0.005668986,0.01040931,-0.000460236,0.007318885,0.0009338,0.007688239,0.009380382,0.000923276,0.000346188,0.002549627
2013-04-30,0.033901552,0,0.010124871,0.061716237,0.016816648,0.011764406,0.006430643,0.009526278,0.014822384,0.00218588,-0.002952551,0,0,0.000849383
2013-05-01,-0.037355787,0,-0.008768845,-0.013810692,-0.010055906,-0.019933981,0.00365644,-0.005886613,-0.008774598,-0.009322728,-0.006427831,0.001383416,0.00034531,0.002964393
2013-05-02,-0.003466208,0,0.037890744,0.002525263,0.001122634,0.00520635,-0.004572348,0.003173753,0.0046279,0.008776831,0.009380382,0.000921931,0.000345771,0.002111818
2013-05-03,-0.064538521,-0.080042708,0.018100281,-0.006325041,0.001120554,0.012532555,0,0.004967275,0.001844972,0.010323222,0.011238937,-0.003691267,-0.00138264,-0.012738891
2013-05-06,-0.07296902,0,0.007658012,-0.001269961,-0.000560257,-0.000732791,0.010031711,0.002249485,0,0.002159976,0.002426248,-0.00184912,-0.001038884,-0.003424637
2013-05-07,-0.078715567,-0.087011377,0.00886064,-0.007653244,0,-0.015515793,0.002265909,0,-0.005545681,0.004842261,0.002904278,-0.001390545,0,-0.000429962
2013-05-08,0.017094433,0.087011377,-0.011406866,-0.001281119,-0.001682931,0.045842764,0.004967534,0.004484686,0.005545681,0.004819725,0.005783186,0,0.000692188,0.003426544
2013-05-09,-0.047731403,0,-0.011538685,0.014004101,-0.010158424,-0.008571362,-0.001352574,-0.003585829,0.002301726,-0.003746659,0.000960715,0.001390545,-0.000692188,0.001282058
2013-05-10,-0.036203049,0,0.011635403,0.010063016,-0.00113473,0.002865344,-0.000450859,0.005820792,-0.00092017,0.004814323,0.007175688,-0.003246393,-0.000693115,-0.007285546
2013-05-13,-0.081579987,0,0.001284604,0.007481247,0.007918313,-0.021693086,-0.002258801,-0.000447417,-0.002304078,0.001066464,0.001428656,-0.001394347,0,-0.003446457
2013-05-14,0.104360015,0,0.025975585,-0.006230574,0.00112661,0,0.003160721,0.000447417,0.001383233,0.009549524,0.006641463,-0.000930843,-0.001040283,-0.003458249
2013-05-15,-0.027398974,0,-0.01512345,-0.001250673,-0.002818082,-0.025917737,-0.005878559,-0.007167833,-0.009254922,0.005265666,0.005187422,0.00232519,0.001040283,0.005182962
2013-05-16,0.009216655,0.080042708,0.011364096,-0.007537752,-0.001129239,0.002248293,0.001812538,0.00224467,0.006949238,-0.004210701,-0.006607048,0.001393258,0,0.003870421
2013-05-17,0.013667639,-0.080042708,0.011236022,0.011285429,-0.002828598,-0.012806343,0.006767488,0.009377048,0.00368626,0.009971376,0.012235493,-0.000928776,0.001039604,-0.001718108
2013-05-21,-0.046304568,0.080042708,0.002479725,0.009925453,0.004522254,0.015795978,0.01339911,0.01017073,0.011433981,0.002086618,0.00466618,0.000928776,-0.000693277,0.000429694
2013-05-22,-0.01913934,0,0.004941173,-0.014925482,-0.00395606,0.014815069,0,-0.003084666,-0.002276464,-0.007847293,-0.006538852,-0.002787604,-0.000346327,-0.006898937
2013-05-23,-0.009708814,0,-0.013023224,-0.00754712,-0.007959198,-0.006639834,-0.008913031,-0.003537102,-0.006401211,-0.003156241,-0.020355971,0,-0.000346447,0.000431724
2013-05-24,0.00486619,0,-0.004379296,-0.001263543,0.002916537,-0.008921951,0,0.002131585,-0.001377117,-0.000526909,-0.010576933,0.001584865,0.001527918,0.002166543
2013-05-27,0.009661911,0.074107972,-0.0012544,0.013810692,-0.000570726,0.005214188,-0.000447657,0.002656763,0.005040205,0.001053722,0.004821987,-0.00233205,-0.000694162,-0.003903036
2013-05-28,-0.029270382,-0.074107972,0.018040642,-0.002497003,-0.003435025,0,0.003576521,0.002650686,-0.001372136,0.006299243,0.006711257,-0.001868693,-0.000694778,-0.008291147
2013-05-29,0,0.207639365,0.022555278,-0.006269523,-0.01968758,0.021316354,-0.005817876,-0.002208669,-0.001832123,-0.007352965,-0.01637796,-0.00093579,-0.00069553,0.000437098
2013-05-30,0.004938282,0.171850257,0.003009338,0.003766497,-0.008810307,0.032203211,-0.001347252,-0.003543205,0.001832123,0.00368315,-0.001944783,0,0.000347758,0.000438436
2013-05-31,0.009804,0.051293294,-0.01330953,-0.003766497,-0.004138942,-0.007066964,-0.007217303,-0.007123044,-0.005047258,-0.014282017,-0.016683484,0.001403324,-0.00069519,0.000875023
2013-06-03,-0.014742282,0.139761942,0.003040448,-0.006309078,-0.005941669,0.002832719,-0.001358848,-0.004478331,0.005047258,0.005313232,-0.003965993,0.000466986,0,0.001311609
2013-06-04,0.019608471,0,-0.010988979,0.010075575,-0.010784436,-0.004252329,0,0.002241707,-0.002290951,-0.005313232,0.00495528,0,0.00069519,-0.001311609
2013-06-05,0.079295603,0,-0.019839391,-0.008810663,-0.010294152,-0.00142155,-0.012314682,-0.013071819,-0.009679655,-0.013408598,-0.025533249,0,0.000695199,0.000874194
2013-06-06,0.013363228,0.042559614,0.000626018,-0.005069739,0.002431583,-0.001423494,0,-0.006373048,0.001388417,0.007530832,-0.008658134,-0.000466986,0,-0.000437224
